tick,agent_id,picks,distance,idle_ticks,blocked_events,fatigue
14400,2,280.6,11962.4,687.6,101.8,0.0804
14400,3,278.2,12023.2,680.5,90.9,0.0796
14400,4,276.8,11954.4,678.5,96.9,0.094
15000,1,293.9,12423.6,729.3,100.3,0.0837
15000,2,291.2,12450.6,731.0,104.9,0.0819
15000,3,289.1,12502.8,732.3,94.5,0.0787
15000,4,288.2,12427.4,729.2,101.4,0.0942
15600,1,304.8,12892.3,792.3,103.1,0.081
15600,2,302.4,12919.4,793.9,107.4,0.0821
15600,3,299.9,12971.9,796.3,97.6,0.08
15600,4,299.3,12895.0,792.6,104.9,0.0948
16200,1,314.7,13329.6,886.6,107.3,0.0749
16200,2,312.9,13352.1,895.8,110.1,0.0754
16200,3,309.7,13409.4,894.4,102.1,0.0739
16200,4,309.2,13331.8,889.7,108.1,0.0859
16800,1,326.3,13810.6,933.7,110.8,0.073
16800,2,324.1,13834.5,943.3,113.4,0.0718
16800,3,320.9,13891.9,944.4,105.3,0.0703
16800,4,320.2,13811.8,937.3,111.6,0.0851
17400,1,337.1,14295.7,981.9,113.5,0.0665
17400,2,335.3,14328.4,980.8,116.4,0.0644
17400,3,332.0,14376.5,989.3,109.5,0.0635
17400,4,331.4,14300.0,980.7,114.3,0.0773
18000,1,348.5,14762.8,1043.8,116.8,0.054
18000,2,345.9,14807.9,1036.4,119.5,0.0538
18000,3,343.2,14848.9,1052.3,111.8,0.0538
18000,4,342.2,14773.1,1040.1,117.5,0.0615
18600,1,359.2,15235.3,1104.8,120.8,0.0483
18600,2,357.0,15289.5,1085.6,124.0,0.0465
18600,3,354.7,15314.9,1115.9,116.3,0.0456
18600,4,352.8,15245.3,1100.6,121.2,0.0531
19200,1,370.4,15702.1,1174.9,123.2,0.0353
19200,2,368.3,15743.7,1167.1,126.5,0.0336
19200,3,365.3,15788.3,1184.4,118.4,0.0324
19200,4,364.3,15702.6,1178.4,123.9,0.0415
19800,1,381.5,16171.0,1240.2,126.0,0.0335
19800,2,379.2,16214.8,1233.1,129.9,0.0301
19800,3,375.9,16266.3,1249.2,120.3,0.0282
19800,4,375.2,16186.6,1229.5,127.0,0.0415
20400,1,392.0,16629.5,1320.8,128.3,0.0309
20400,2,390.0,16669.7,1317.3,132.7,0.0304
20400,3,386.5,16732.6,1324.3,122.5,0.0259
20400,4,385.8,16643.2,1311.1,129.5,0.0371
21000,1,402.6,17107.9,1381.1,130.9,0.0305
21000,2,401.5,17139.9,1383.6,135.3,0.0305
21000,3,397.7,17201.6,1396.9,124.1,0.0246
21000,4,397.0,17123.0,1363.9,133.5,0.0349
21600,1,413.4,17571.1,1451.3,135.8,0.0307
21600,2,412.9,17610.9,1445.2,139.8,0.0308
21600,3,408.4,17676.1,1460.3,127.7,0.0247
21600,4,407.5,17580.0,1446.2,136.1,0.0348
22200,1,425.1,18066.4,1489.6,138.8,0.0299
22200,2,424.9,18112.4,1475.2,143.3,0.0303
22200,3,419.8,18178.5,1493.7,131.2,0.0247
22200,4,419.2,18077.1,1482.4,138.7,0.0334
22800,1,437.2,18577.0,1507.8,142.8,0.0299
22800,2,437.0,18627.6,1490.3,146.4,0.0303
22800,3,431.4,18692.0,1512.0,135.4,0.0249
22800,4,431.1,18589.5,1502.0,141.8,0.0333
23400,1,448.8,19095.3,1520.5,146.2,0.03
23400,2,448.6,19144.4,1506.3,150.0,0.0304
23400,3,443.5,19210.4,1526.0,138.4,0.0251
23400,4,443.4,19102.7,1515.6,146.4,0.0332
24000,1,460.8,19594.7,1548.0,150.6,0.0298
24000,2,460.0,19648.2,1535.0,153.9,0.0304
24000,3,455.6,19722.7,1546.6,141.7,0.0251
24000,4,455.0,19613.2,1538.8,149.2,0.0332
24600,1,472.9,20103.1,1566.4,155.7,0.0298
24600,2,472.6,20158.1,1552.1,158.4,0.0303
24600,3,467.9,20234.2,1566.4,145.3,0.0252
24600,4,466.7,20125.7,1556.6,153.1,0.0331
25200,1,485.0,20617.2,1578.7,160.4,0.0297
25200,2,484.6,20679.1,1564.1,161.1,0.0301
25200,3,480.3,20753.4,1579.0,148.4,0.0251
25200,4,478.8,20645.0,1568.5,156.8,0.033
25800,1,497.1,21133.7,1591.1,164.7,0.0292
25800,2,496.7,21199.2,1575.9,164.3,0.0301
25800,3,492.3,21272.1,1591.7,152.4,0.025
25800,4,491.1,21159.9,1583.1,160.3,0.0316
26400,1,509.5,21645.3,1608.0,167.3,0.0275
26400,2,508.9,21714.8,1593.6,166.7,0.0278
26400,3,504.5,21788.5,1609.7,155.2,0.0227
26400,4,503.1,21674.1,1601.0,163.5,0.029
27000,1,521.2,22167.1,1619.6,169.9,0.0275
27000,2,521.3,22229.2,1606.0,171.3,0.0275
27000,3,516.4,22311.3,1621.6,158.5,0.0227
27000,4,514.6,22197.0,1612.3,167.0,0.0289
27600,1,533.7,22681.3,1632.1,173.7,0.0274
27600,2,533.4,22748.3,1618.1,174.6,0.0274
27600,3,528.7,22828.2,1634.2,161.6,0.0226
27600,4,526.9,22712.2,1624.8,171.0,0.0287
28200,1,545.8,23198.1,1643.9,177.5,0.0272
28200,2,545.0,23270.0,1629.9,178.3,0.0273
28200,3,541.1,23347.5,1646.5,165.3,0.0226
28200,4,539.0,23232.0,1637.0,173.8,0.0285
28800,1,557.4,23719.5,1655.8,181.0,0.027
28800,2,557.1,23786.9,1642.1,182.7,0.0271
28800,3,553.2,23864.7,1658.9,169.9,0.0225
28800,4,550.6,23752.7,1648.8,177.2,0.0282
